x y z Tx Ty Tz 
0 -1.84771 10.0291 0 0 0
0 -1.85557 10.0673 0 0 0
0 -1.85296 10.1277 0 0 0
0 -1.81761 10.1453 0 0 0
0 -1.79844 10.1558 0 0 0
0 -1.77307 10.1558 0 0 0
0 -1.76075 10.1571 0 0 0
0 -1.76276 10.1655 0 0 0
0 -1.78285 10.1684 0 0 0
0 -2.0471 10.1976 0 0 0
0 -2.1815 10.2259 0 0 0
0 -2.66943 10.3714 0 0 0
0 -2.84545 10.4426 0 0 0
0 -3.38234 10.767 0 0 0
0 -3.65527 11.0269 0 0 0
0 -3.81335 11.2755 0 0 0
0 -3.91515 11.4665 0 0 0
0 -4.00383 11.6322 0 0 0
0 -4.07707 11.7498 0 0 0
0 -4.13102 11.8452 0 0 0
0 -4.17118 11.9313 0 0 0
0 -4.21772 12.0133 0 0 0
0 -4.24349 12.0441 0 0 0
0 -4.25346 12.0383 0 0 0
0 -4.27073 11.9965 0 0 0
0 -4.27582 11.9493 0 0 0
0 -4.26981 11.7608 0 0 0
0 -4.24988 11.6338 0 0 0
0 -4.24279 11.5754 0 0 0
0 -4.20316 11.3898 0 0 0
0 -4.16809 11.2972 0 0 0
0 -4.14143 11.2124 0 0 0
0 -4.10788 11.1292 0 0 0
0 -4.07563 11.0728 0 0 0
0 -4.05289 11.0163 0 0 0
0 -4.04023 10.9562 0 0 0
0 -4.02665 10.9064 0 0 0
0 -4.02531 10.9046 0 0 0
0 -4.0494 10.948 0 0 0
0 -4.07789 11.0184 0 0 0
0 -4.11462 11.1152 0 0 0
0 -4.15584 11.2296 0 0 0
0 -4.19319 11.3534 0 0 0
0 -4.20863 11.4073 0 0 0
0 -4.23732 11.5413 0 0 0
0 -4.26273 11.6284 0 0 0
0 -4.27944 11.691 0 0 0
0 -4.28914 11.7201 0 0 0
0 -4.32376 11.7891 0 0 0
0 -4.35367 11.8083 0 0 0
0 -4.37228 11.8197 0 0 0
0 -4.38602 11.8417 0 0 0
0 -4.39441 11.8709 0 0 0
0 -4.38681 11.8691 0 0 0
0 -4.36369 11.8467 0 0 0
0 -4.35937 11.8132 0 0 0
0 -4.3346 11.7266 0 0 0
0 -4.30939 11.6274 0 0 0
0 -4.26855 11.5296 0 0 0
0 -4.25381 11.4565 0 0 0
0 -4.25912 11.4298 0 0 0
0 -4.24431 11.3395 0 0 0
0 -4.23192 11.3285 0 0 0
0 -4.20185 11.277 -0.0506891 0 0
0 -4.19865 11.2373 -0.0511198 0 0
0 -4.16209 11.1854 -0.0517883 0 0
0 -4.13292 11.1607 -0.0525681 0 0
0 -4.12862 11.1681 -0.0530592 0 0
0 -4.12964 11.1662 -0.0531604 0 0
0 -4.11342 11.1954 -0.0542455 0 0
0 -4.10491 11.2341 -0.0549151 0 0
0 -4.09276 11.263 -0.0551786 0 0
0 -4.0902 11.2868 -0.0556314 0 0
0 -4.09056 11.2957 -0.0558816 0 0
0 -4.0946 11.3399 -0.0559044 0 0
0 -4.11595 11.3425 -0.0551461 0 0
0 -4.13257 11.357 -0.0552686 0 0
0 -4.18913 11.4603 -0.0571775 0 0
0 -4.20864 11.522 -0.0579417 0 0
0 -4.21665 11.5361 -0.0581281 0 0
0 -4.24384 11.6062 -0.0596195 0 0
0 -4.2428 11.6649 -0.060415 0 0
0 -4.23456 11.6771 -0.060317 0 0
0 -4.22814 11.6794 -0.0600891 0 0
0 -4.22694 11.6765 -0.0600139 0 0
0 -4.23239 11.6763 -0.0604034 0 0
0 -4.24206 11.6624 -0.0610405 0 0
0 -4.24853 11.6448 -0.0611506 0 0
0 -4.26886 11.601 -0.0619686 0 0
0 -4.25533 11.5679 -0.0621336 0 0
0 -4.24391 11.5506 -0.0620846 0 0
0 -4.21357 11.5147 -0.0622425 0 0
0 -4.15454 11.478 -0.063531 0 0
0 -4.14094 11.4561 -0.063993 0 0
0 -4.10454 11.3474 -0.0645319 0 0
0 -4.09646 11.3049 -0.0646172 0 0
0 -4.07213 11.1592 -0.064211 0 0
0 -4.07756 11.122 -0.0638294 0 0
0 -4.04832 10.9981 -0.0621126 0 0
0 -4.03205 10.9676 -0.0619847 0 0
0 -4.01304 10.9328 -0.0623892 0 0
0 -3.99741 10.9202 -0.0631482 0 0
0 -3.985 10.9064 -0.0637582 0 0
0 -3.96094 10.8816 -0.0642055 0 0
0 -3.95263 10.8786 -0.0649571 0 0
0 -3.9565 10.8945 -0.0650657 0 0
0 -3.9578 10.9076 -0.0650015 0 0
0 -3.97854 10.9561 -0.0653028 0 0
0 -4.00566 11.047 -0.0661972 0 0
0 -4.02974 11.1363 -0.066962 0 0
0 -4.07325 11.2337 -0.0673801 0 0
0 -4.11329 11.3367 -0.0682455 0 0
0 -4.14288 11.437 -0.0690921 0 0
0 -4.16534 11.5393 -0.0704069 0 0
0 -4.20431 11.6302 -0.0708109 0 0
0 -4.23575 11.7229 -0.0713471 0 0
0 -4.23654 11.734 -0.0711254 0 0
0 -4.23665 11.7573 -0.0710691 0 0
0 -4.23187 11.7558 -0.0712404 0 0
